"uuid","image_uuid","id","user_defined_key","concept","alt_concept","image","group_of","height","occluded","observer","truncated","width","x","y","rejected","verified","verifier","verification_timestamp","created_timestamp","last_updated_timestamp","column1"
"84f11c71-6a87-4a5a-a726-e7facb4962e9","0045baa3-dce2-4ea7-bb5f-8329beb47399","",a9843798-37e5-43df-f067-fe900658c11e,Ophidiidae,"","","",114,"",lonny,"",294,393,180,false,false,"",,2023-09-14 20:22:01.930,2023-09-14 20:22:01.930,0
b1f33268-ba7d-407c-a507-335c8a2ad470,"0058e081-ab45-4550-a667-5535ffa43ba5","",bc509b2d-6636-4948-bf63-d8251058c11e,Funiculina,"","","",25,"",yolov5,"",14,706,283,false,false,"",,2023-09-14 20:21:00.363,2023-09-14 20:21:00.363,1
"13247003-0907-4416-b18e-76ddca3cce2e","0058e081-ab45-4550-a667-5535ffa43ba5","","68c43ec5-0ef1-4bd8-c763-d8251058c11e",Umbellula,"","","",27,"",gsainz,"",14,579,188,false,false,"",,2023-09-14 20:21:00.363,2023-09-14 20:21:00.363,2
"00b5ffa2-3509-4410-af67-967d9f9e31c4","0058e081-ab45-4550-a667-5535ffa43ba5","","9980a14d-ae99-4637-7d6e-b3261058c11e",Funiculina,"","","",32,"",yolov5,"",14,457,265,false,false,"",,2023-09-14 20:21:00.363,2023-09-14 20:21:00.363,3
"3f20287d-6d83-4240-b72c-3019fedb7a10","0058e081-ab45-4550-a667-5535ffa43ba5","",bdecfabf-3ba3-4018-bb63-d8251058c11e,Funiculina,"","","",29,"",yolov5,"",9,127,220,false,false,"",,2023-09-14 20:21:00.363,2023-09-14 20:21:00.363,4
d26334b5-b931-45a5-b747-72a2c2802511,"0058e081-ab45-4550-a667-5535ffa43ba5","",aa612fea-af20-48ed-b763-d8251058c11e,Funiculina,"","","",22,"",yolov5,"",16,701,376,false,false,"",,2023-09-14 20:21:00.363,2023-09-14 20:21:00.363,5
"407bd8cc-ac5e-4d13-852f-907a61e54406","0058e081-ab45-4550-a667-5535ffa43ba5","","4daa20be-b266-49af-df6a-1e251058c11e",Funiculina,"","","",18,"",yolov5,"",8,213,374,false,false,"",,2023-09-14 20:21:00.363,2023-09-14 20:21:00.363,6
e2b65168-f5ff-4b27-ae12-9f67bc5b27f6,"0058e081-ab45-4550-a667-5535ffa43ba5","","72055fbc-a2e1-4607-db6a-1e251058c11e",Funiculina,"","","",19,"",yolov5,"",8,336,209,false,false,"",,2023-09-14 20:21:00.363,2023-09-14 20:21:00.363,7
"7e3f3009-a415-43df-807a-199d2172ec3b","0058e081-ab45-4550-a667-5535ffa43ba5","",d20c2e8b-2eb2-42e9-b563-d8251058c11e,Funiculina,"","","",57,"",yolov5,"",10,76,246,false,false,"",,2023-09-14 20:21:00.363,2023-09-14 20:21:00.363,8
"0463e2b9-b252-46eb-b9bd-a29677b0870b","0058e081-ab45-4550-a667-5535ffa43ba5","",c78442e8-7cd2-4f27-d563-d8251058c11e,Umbellula,"","","",43,"",gsainz,"",29,43,315,false,false,"",,2023-09-14 20:21:00.363,2023-09-14 20:21:00.363,9
"2c78ac12-6b67-4c43-aef4-cc616102373e","0058e081-ab45-4550-a667-5535ffa43ba5","",c2f71a7f-407e-4cf5-cd63-d8251058c11e,Funiculina,"","","",28,"",yolov5,"",15,559,272,false,false,"",,2023-09-14 20:21:00.363,2023-09-14 20:21:00.363,10
"693d9b2b-d992-4084-bb18-8bf82014b205","0058e081-ab45-4550-a667-5535ffa43ba5","","0b9baccf-7761-42f5-c163-d8251058c11e",Funiculina,"","","",25,"",yolov5,"",8,389,355,false,false,"",,2023-09-14 20:21:00.363,2023-09-14 20:21:00.363,11
e6d245c5-bedc-43f9-a978-511bd901d4b2,"0058e081-ab45-4550-a667-5535ffa43ba5","",bb2bbf96-eaab-4eb1-7f6e-b3261058c11e,Umbellula,"","","",34,"",gsainz,"",19,437,392,false,false,"",,2023-09-14 20:21:00.363,2023-09-14 20:21:00.363,12
b4b9fa28-c943-49c4-976e-a8da2bff9f10,"0058e081-ab45-4550-a667-5535ffa43ba5","",c659c1d4-2cfb-4faa-ed6a-1e251058c11e,Sebastolobus,"","","",17,"",yolov5,"",28,340,138,false,false,"",,2023-09-14 20:21:00.369,2023-09-14 20:21:00.369,13
fd2a1ea7-c075-441a-a027-3b5038f97124,"0058e081-ab45-4550-a667-5535ffa43ba5","","66027906-76fb-44e8-7b6e-b3261058c11e",Umbellula,"","","",33,"",gsainz,"",16,328,289,false,false,"",,2023-09-14 20:21:00.369,2023-09-14 20:21:00.369,14
"2a154da0-58e8-46e6-9720-278956c22ed7","0058e081-ab45-4550-a667-5535ffa43ba5","","5116b006-cce0-40e3-d763-d8251058c11e",Funiculina,"","","",24,"",yolov5,"",20,522,314,false,false,"",,2023-09-14 20:21:00.369,2023-09-14 20:21:00.369,15
"0717723f-c2d8-4dc2-ac8e-7a7d17e8043d","0058e081-ab45-4550-a667-5535ffa43ba5","","3e727967-d3f1-40b9-e76a-1e251058c11e",Funiculina,"","","",30,"",yolov5,"",10,422,200,false,false,"",,2023-09-14 20:21:00.369,2023-09-14 20:21:00.369,16
