,uuid,label
0,042636e3-5392-4fbe-8558-fc9d92c540d6,benthic
1,09328e2b-14db-46a7-918c-9407aca9d819,benthic
2,0408e41f-1960-4670-8722-b3c6c1bf5934,benthic
3,03f71fe5-a743-4e56-85a7-96189bb1e1cf,benthic
4,08b2055a-cff3-4b5e-b107-0b96ac221279,benthic
5,028e3634-7986-4340-91b3-ec888bc6427b,midwater
6,085d2f31-ef89-426c-82d2-c7e0a2a5e6ce,benthic
7,0045baa3-dce2-4ea7-bb5f-8329beb47399,benthic
8,08d2e23f-3853-4b9f-b055-e9590e36e801,benthic
9,0a206575-9a77-483e-85e8-ae89260080f0,benthic
10,029c85e1-6a3c-4a08-bef8-fecfdf97ff86,benthic
11,05e86f3c-ab9d-4726-9422-54f5806ea52d,benthic
12,0142be4c-c49f-4db6-98b5-c38ff6d829f9,benthic
13,06cc10c9-2a58-44dd-98d7-c4d195e06818,benthic
14,09b5d4d4-da2b-41d3-9cde-c758817bf717,benthic
15,05d8675d-d36d-4008-8f1e-96c6ba6817ae,midwater
16,04d45bda-34d6-483a-af34-ddc8259370f6,benthic
17,040452a9-3bf3-4c73-ba03-353cca8f0080,benthic
18,0463d802-5e43-45cb-8114-e5b9301ed7bd,benthic
19,07f457c1-0af7-4431-b831-f96f63360066,benthic
20,03d05d06-0475-46ab-a96a-cad5b257ea2a,benthic
21,0855ad4b-ac0f-466a-9a9a-dc9ed74379c7,benthic
22,02440453-edd2-4a47-b3aa-639c90d7e601,midwater
23,016ebc47-e675-463e-938f-d50517cd25bc,benthic
24,04e126f7-02c9-41e5-b38f-ae7121d57459,benthic
25,0058e081-ab45-4550-a667-5535ffa43ba5,benthic
26,06634556-583b-4a36-b927-940c82417b53,benthic
27,07a4ec11-6724-49de-ba4e-18c0eb314c9e,benthic
28,041984f0-997f-4d80-9e64-1d90317ee4d4,benthic
29,03696248-87cc-43a7-a396-2a2e1499d20d,benthic
30,0955d808-f3a6-43b3-a2eb-09c2b14369b0,benthic
31,098f3d44-751b-4625-9232-fcc31cdcd20f,midwater
32,05253653-2c15-4ba3-9d23-7556c9afe17f,benthic
33,08340a35-b97b-45f6-88b8-6edc2e6b930a,benthic
34,09566265-478a-42f9-9e96-7a89f28a4d14,benthic
35,06b46bb6-1032-4adc-b789-0fe928468d96,midwater
36,03c5b1f6-f0a3-4e1e-93be-0df54ca28350,benthic
37,01b7012e-4a7d-4c57-a2d2-62f79debb0f5,benthic
38,00806a16-e687-469a-9a58-285bafcadf17,benthic
39,0a119cbb-d378-4cc6-a22b-5cf8aac3ef88,benthic
40,024e064e-243e-47b7-9726-00a192071174,benthic
41,0330819d-0ad1-4660-b3fd-94744fa21cb8,benthic
42,06092767-64e4-4bb2-8bd9-18a0c7fb8586,benthic
43,04ba3efc-e6a2-4d8e-9b64-16262e0a75a7,benthic
44,09ff9fb4-fdb6-460b-84e5-b2c8d1d07633,benthic
45,054798c9-469b-4c84-9049-52ca35d44f31,benthic
46,03fcbaf3-cb8f-40c1-96fa-90d36e3a93df,benthic
47,0956d286-ec3a-4531-853e-968d93836bb2,midwater
48,020e1109-0eb3-47d5-9ee7-b4d4f8a10e35,benthic
49,0434b6af-efd0-402f-88f6-c0198df93c5e,benthic
50,07629244-7227-4b94-a58a-01fee7b1092a,benthic
51,0fbe3f12-1b10-448e-b3cc-1654d6d5b399,benthic
52,12e1bfd6-f17e-42a3-b8c3-d050f2e31fea,benthic
53,0ecadc3c-4ca3-4614-9bde-cfc993d3c3c3,benthic
54,13804a08-4134-4b57-9947-5b4df7157e3c,benthic
55,0eebe93c-ff60-461e-a859-a10bd14280cf,benthic
56,11ca82dd-6069-408b-a81c-915255b3a6af,benthic
57,1097bdfa-198b-4ada-b062-616958b670b2,benthic
58,1077d96c-ded7-45df-b890-71e72915c348,benthic
59,11ffaafc-d5e1-4afb-8a27-56229cf01b28,benthic
60,0ae29b6d-ee07-40f1-a570-319eae3a2276,benthic
61,0cb1dcf4-29db-4214-ad98-5bd6b7f0b756,benthic
62,1498d61c-7e5f-411e-969c-6333c284c3fb,benthic
63,1495cbb9-f633-44f2-8d30-5566d4917e3e,benthic
64,12d56090-46f9-455f-ba72-552ef990bd3a,benthic
65,0ff00125-fe5b-4753-92a3-ef90b27bc15c,benthic
66,1392a69d-a631-48b8-aa4e-f26ce7cacefa,benthic
67,0ceb6351-1b85-42d3-8d13-02e2e000f89d,benthic
68,136dc01b-ecf1-4dc0-ba20-53a6451fb977,midwater
69,0fe47970-8edb-4889-bcbf-845ee959a39c,benthic
70,12d671a7-5602-43a7-ba86-c497cf5207ed,benthic
71,0f9ea7fa-330d-4300-843a-409c3d9ea173,benthic
72,0f7366ab-3529-42ba-821b-81a5e9210bf8,midwater
73,0f957aef-597f-43c3-bc08-1dc2d0910c8b,benthic
74,1369b96d-dc62-493a-9a24-903fa802c3a6,benthic
75,0b76617a-7ce4-4eb8-95dc-67a89579d413,midwater
76,12ce8884-d0eb-4d84-b8ab-5dc48cdcba81,benthic
77,0bf213c4-4b7a-4dfc-a1e8-4dcdb77ccd59,benthic
78,0e22de90-84e2-49e7-9b05-277cec2d454c,benthic
79,122d7685-d84d-4bb1-98ea-c8b6daa4699e,benthic
80,112fecbc-b6f0-4a29-9185-cf78732e738d,benthic
81,0ba38084-ea84-487f-8676-cad7f9242723,benthic
82,0f001c7d-2931-48f8-8420-50d3a6d9a003,benthic
83,144d052b-4104-46e9-9b4e-a447889fac89,benthic
84,0e5c28ee-032f-4105-af39-7ee40ca8b6e4,benthic
85,13ef4af0-5308-48c8-8ab8-939fa705e2ff,benthic
86,122682f0-febe-443f-be4a-b18644eb31dd,benthic
87,0aecb028-7333-4388-b7ca-d113bf609c6e,benthic
88,0be482d6-4422-4637-a2b6-eac58ca1d98f,benthic
89,0b8a4913-272f-40e4-a523-111f665dd022,benthic
90,1407114b-066c-4154-845b-3c852660d3d5,benthic
91,1337202f-38b0-4a66-ae48-948890e60c64,benthic
92,140513f4-68ac-4d93-b2e9-517765e09f46,benthic
93,0d8839fb-cf28-405c-aebf-e5f343f20fed,benthic
94,0bdf910b-fc36-4dd9-9e10-ebeedcceb401,midwater
95,0e68fa96-649a-4c64-937c-90810562f4e9,benthic
96,12cc1736-e22f-4efd-ba48-de913e600958,benthic
97,139b7654-283b-4252-8be3-d27ab253ea87,benthic
98,13703f26-876e-4edc-9fb1-d408bb6f8f44,benthic
99,0e044d30-f4d7-4a2b-9231-42441606b25e,benthic
100,1175c23d-5cfd-4c87-ae90-c648cb0e8bb9,midwater
101,0bee63e8-c85d-443a-a008-6b548d9726ab,benthic
102,1cd70820-42a9-4039-b4a0-39f0cac2ffe4,benthic
103,1f6ea5e3-86f5-4695-9afc-eb720a7efb97,benthic
104,1e634b6e-d5be-4e44-be2a-6b7372bf1050,benthic
105,1de8d252-513e-4103-a740-7291330018ca,benthic
106,1aab4c8a-62bc-423c-bb62-9ab3d0caf8f7,benthic
107,1652ef98-8597-4052-91f1-fb62851fc2d9,benthic
108,199c8169-a677-48ea-8ce9-15f5dc6a47e3,benthic
109,15288c88-747e-494e-b023-fd28d9a84e3a,benthic
110,1ac434b4-26e8-427d-bf3d-ba6e3c87be94,benthic
111,1f1f9e6f-251f-4acf-9a73-7666f882cd88,benthic
112,1b8d0164-f262-46e3-8c95-4b92440c6d5c,benthic
113,15d63b2b-74aa-4d1a-b4e7-20707319f618,midwater
114,1d6c6aa5-3b6d-403f-9f8c-9b3b4bd883c7,benthic
115,1d51edbc-f1b8-4dcb-8be3-08c228c57705,benthic
