"uuid","key","media_type","value","created_timestamp","last_updated_timestamp","image","image_uuid","column1","id","mediatype","createdtimestamp","lastupdatedtimestamp"
dfa72f28-25fb-455e-b689-ee91987f5049,source,,MBARI/VARS,,,"","0045baa3-dce2-4ea7-bb5f-8329beb47399",0,"",text/plain,"",""
"05cc0908-3153-4425-82ef-93965652cce5",source,,MBARI/VARS,,,"","0058e081-ab45-4550-a667-5535ffa43ba5",1,"",text/plain,"",""
"31ca3b75-a575-49e2-a416-a04d12cc083e",source,,MBARI/VARS,,,"","0142be4c-c49f-4db6-98b5-c38ff6d829f9",3,"",text/plain,"",""
"44225f3c-3edd-416a-9861-8eb43d2bcb60",source,,MBARI/VARS,,,"","01b7012e-4a7d-4c57-a2d2-62f79debb0f5",5,"",text/plain,"",""
c18d3435-8f0e-4b45-9de3-3d9a696ece2f,source,,MBARI/VARS,,,"","02440453-edd2-4a47-b3aa-639c90d7e601",7,"",text/plain,"",""
"02acc926-57c1-4f9d-9a29-b16db0e241ae",source,,MBARI/VARS,,,"","024e064e-243e-47b7-9726-00a192071174",8,"",text/plain,"",""
a5a3fd92-0002-435e-af2d-f463cb8d5ffd,source,,MBARI/VARS,,,"","028e3634-7986-4340-91b3-ec888bc6427b",9,"",text/plain,"",""
f4377298-53d7-41c6-9c1b-ca30622b85dc,source,,MBARI/VARS,,,"","029c85e1-6a3c-4a08-bef8-fecfdf97ff86",10,"",text/plain,"",""
a5c5f186-503e-4161-8449-ae3a0cb06b69,source,,MBARI/VARS,,,"","03696248-87cc-43a7-a396-2a2e1499d20d",12,"",text/plain,"",""
"704a899e-af1c-4e29-b2cb-5ff2500f5d96",source,,MBARI/VARS,,,"","03c5b1f6-f0a3-4e1e-93be-0df54ca28350",13,"",text/plain,"",""
b2f0b1b8-c092-4178-83ec-4433cf843b1e,source,,MBARI/VARS,,,"","03d05d06-0475-46ab-a96a-cad5b257ea2a",14,"",text/plain,"",""
"01d79222-e502-4d44-b016-de4a2299c4ad",source,,MBARI/VARS,,,"","03f71fe5-a743-4e56-85a7-96189bb1e1cf",15,"",text/plain,"",""
ff95fd4b-dea7-4e03-8165-221d51d1ece4,source,,MBARI/VARS,,,"","03fcbaf3-cb8f-40c1-96fa-90d36e3a93df",16,"",text/plain,"",""
"87344804-2ed0-4420-b817-3372796398a6",source,,MBARI/VARS,,,"","0408e41f-1960-4670-8722-b3c6c1bf5934",18,"",text/plain,"",""
"02edd9e0-5e70-4300-9bc0-24511bc82256",source,,MBARI/VARS,,,"","041984f0-997f-4d80-9e64-1d90317ee4d4",19,"",text/plain,"",""
"1e95e840-8cf0-4f4d-a702-f5b77b71df76",source,,MBARI/VARS,,,"","042636e3-5392-4fbe-8558-fc9d92c540d6",20,"",text/plain,"",""
